10	83	235	216	67	67	13	13	14 
20	279	960	952	758	704	49	50	50 
30	896	2337	1734	1605	1467	86	88	88 
40	1753	3555	2832	2802	2505	117	119	119 
50	2565	4550	3837	3807	3437	156	157	157 
60	3665	5786	5026	5046	4621	202	203	203 
70	4973	7356	6647	6522	6037	257	258	259 
80	6712	9104	8317	8244	7645	319	320	322 
90	9024	11055	10273	10210	9590	398	399	402 
100	11831	14183	14611	14745	11872	475	476	480 
110	14821	16671	16997	17231	14251	560	561	565 
120	18249	19387	19682	19940	16907	654	654	658 
130	22894	22317	22572	22820	19790	755	754	759 
140	28288	25568	25787	26128	22999	863	862	867 
150	33821	29138	29275	29712	26466	978	977	982 
160	40597	32914	32973	33509	30164	1108	1112	1106 
170	48107	36948	36982	37525	34162	1239	1242	1236 
180	56226	41287	41355	41856	38422	1377	1380	1375 
190	65462	45826	45803	46382	42912	1522	1526	1532 
200	75291	50694	50525	51326	47673	1675	1679	1685 
210	86435	55989	55624	56605	52768	1836	1839	1845 
220	98251	61524	61128	62080	58277	2004	2007	2013 
230	111052	67261	66876	67867	63962	2180	2182	2195 
240	126508	73273	72738	73922	69840	2363	2365	2378 
250	142038	79525	78936	80213	76037	2553	2555	2569 
260	158997	86031	85372	86759	82449	2751	2753	2767 
270	176953	92819	92257	93596	89314	2956	2967	2980 
280	195455	100080	99419	100860	96457	3170	3180	3195 
290	215821	107716	106851	108407	103839	3391	3401	3415 
300	237743	115507	114558	116207	111599	3619	3629	3643 
310	261449	123564	122430	124286	119495	3855	3865	3879 
320	285958	131935	130549	132611	127690	4098	4108	4122 
330	311587	140616	139077	141255	136261	4355	4358	4373 
340	340009	149707	147860	150362	145068	4613	4616	4632 
350	368781	158879	156989	159552	154118	4879	4881	4897 
360	398874	168293	166420	168898	163536	5152	5156	5171 
370	431428	178142	176112	178655	173180	5435	5437	5452 
380	463719	188182	185999	188729	183229	5723	5725	5740 
390	501229	198586	196216	199175	193476	6019	6020	6036 
400	540425	209432	206772	209992	204027	6329	6323	6339 
410	578943	220390	217640	220970	214879	6640	6634	6650 
420	620560	231833	228946	232333	226181	6959	6952	6969 
430	664214	243639	240596	244129	237776	7285	7278	7295 
440	710160	255515	252363	256008	249636	7618	7611	7628 
450	758153	267712	264483	268117	261759	7959	7952	7969 
460	809289	280163	276907	280497	274114	8307	8300	8329 
470	860444	293364	289656	293391	286921	8663	8656	8684 
480	914850	306487	302659	306500	299942	9026	9019	9048 
490	972693	319886	315915	319869	313218	9397	9390	9419 
500	1035564	333564	329421	333517	326769	9775	9769	9806 
510	1095992	347288	343077	347299	340377	10165	10154	10192 
520	1157933	361384	357167	361530	354964	10564	10547	10585 
530	1226055	375931	371734	376024	369522	10965	11008	10986 
540	1294826	390685	386633	390813	384437	11373	11417	11395 
550	1363779	405954	401920	406184	399725	11789	11833	11811 
560	1438742	421650	417611	421818	415479	12212	12260	12235 
570	1517359	437736	433611	437909	431420	12647	12690	12666 
580	1596530	454126	449889	454295	447714	13085	13128	13105 
590	1681417	470818	466464	470928	464276	13531	13574	13551 
600	1764386	487793	486092	488964	481206	13984	14028	14005 
610	1849114	504997	503201	506122	498270	14445	14489	14466 
620	1938724	522638	520613	523683	515591	14916	14958	14935 
630	2034410	540341	537947	541376	533071	15392	15434	15411 
640	2130341	558416	555715	559330	550800	15876	15918	15895 
650	2229331	576831	573833	577727	569252	16441	16475	16386 
660	2334830	595757	592467	596610	588015	16939	16973	16887 
670	2444040	614902	611465	615716	606957	17445	17479	17393 
680	2553592	634160	630768	635043	626292	17959	17993	17907 
690	2662865	654079	650510	654933	645971	18480	18514	18428 
700	2775156	674066	670430	674898	665790	19009	19058	18993 
710	2894457	694432	690611	695236	686074	19545	19595	19529 
720	3017871	715106	711146	715897	706532	20093	20139	20073 
730	3137707	736125	732069	736829	727431	20644	20691	20624 
740	3264921	757415	753169	758087	748557	21203	21256	21183 
750	3399097	778893	774403	779540	769919	21770	21832	21749 
760	3526448	800347	795774	801005	791210	22344	22470	22323 
770	3663558	822176	817534	822804	813075	22925	23063	22905 
780	3806582	844561	839731	845176	835119	23514	23657	23494 
790	3952345	867407	862539	868020	857926	24110	24253	24100 
800	4098085	890566	885545	891236	880993	24714	24857	24710 
810	4255457	914022	908758	914612	904172	25326	25474	25321 
820	4418511	937908	932364	938373	927729	25946	26097	25940 
830	4581160	962092	956481	962577	951845	26572	26723	26567 
840	4740485	986733	980800	987209	976240	27209	27357	27201 
850	4911845	1011588	1005479	1012131	1000990	27850	27998	27843 
860	5085457	1036915	1030888	1037408	1032101	28501	28653	28493 
870	5262987	1062271	1056157	1063103	1057441	29158	29309	29153 
880	5446653	1087940	1081783	1088674	1082999	29822	29973	29817 
890	5631416	1120672	1107668	1114593	1108807	30494	30651	30489 
900	5822454	1146818	1133902	1140784	1134931	31173	31330	31169 
910	6024282	1173549	1160581	1167526	1161489	31863	32016	31856 
920	6214900	1200537	1187607	1194477	1188502	32557	32710	32550 
930	6416697	1227928	1215034	1221898	1216012	33259	33412	33255 
940	6622515	1255692	1242776	1249603	1243710	33968	34121	33964 
950	6830554	1283651	1270763	1277401	1271682	34690	34838	34681 
960	7050753	1311612	1298901	1305426	1299860	35424	35592	35416 
970	7269451	1339929	1327472	1333775	1328267	36156	36324	36148 
980	7490902	1368723	1356384	1362573	1357301	36896	37064	36888 
990	7730403	1397729	1385418	1391536	1386383	37650	37812	37636 
1000	7969714	1427038	1414727	1420840	1415735	38406	38573	38392 
